Position,Depth,SeaJay,Stash,Komodo,Laser,SeaJay/Stash,SeaJay/Komodo,SeaJay/Laser
Starting,5,1648,328,1394,,5.02,1.18,N/A
Starting,7,8249,2013,5118,,4.09,1.61,N/A
Starting,10,49353,16841,25961,,2.93,1.90,N/A
Middlegame,5,4998,760,1339,,6.57,3.73,N/A
Middlegame,7,15381,1419,5413,,10.83,2.84,N/A
Middlegame,10,64809,8228,39741,,7.87,1.63,N/A
Endgame,5,1313,185,1803,,7.09,.72,N/A
Endgame,7,10386,665,3706,,15.61,2.80,N/A
Endgame,10,51343,3800,32275,,13.51,1.59,N/A
Tactical,5,1410,674,1440,,2.09,.97,N/A
Tactical,7,8592,1534,6211,,5.60,1.38,N/A
Tactical,10,71185,33509,30686,,2.12,2.31,N/A
Complex,5,4911,1165,2355,,4.21,2.08,N/A
Complex,7,21826,3747,14630,,5.82,1.49,N/A
Complex,10,113809,30297,105122,,3.75,1.08,N/A
